Word,Count
the,1168
of,730
MiniClipBoard,584
Public,439
GNU,438
it,438
is,438
General,438
Lesser,438
License,438
version,294
***********************,292
or,292
file,150
be,148
will,148
in,148
part,146
Software,146
This,146
WARRANTY;,146
software:,146
for,146
Free,146
PARTICULAR,146
a,146
redistribute,146
more,146
distributed,146
2017-2018,146
©,146
A,146
FOR,146
BOST,146
you,146
hope,146
ANY,146
by,146
&,146
and/or,146
can,146
\useful,\,146
implied,146
see,146
with,146
You,146
(at,146
MERCHANTABILITY,146
copy,146
that,146
terms,146
\License,\,146
without,146
but,146
WITHOUT,146
along,146
COPYRIGHT,146
published,146
free,146
have,146
3,146
your,146
<http://www.gnu.org/licenses/>,146
as,146
details,146
option),146
LICENSING,146
If,146
**********************************************************************,146
Grégoire,146
warranty,146
either,146
FITNESS,146
under,146
later,146
even,146
modify,146
\Foundation,\,146
received,146
any,146
\not,\,146
PURPOSE,146
should,146
See,146
Copyright,146
/,14
2,12
**,10
\6,\,10
-,9
+,8
QPoint(width(),5
painter.drawLine(QPoint(width(),5
{,4
},4
Meta,4
*,4
||,3
=,3
flags,3
return,3
|,3
//,3
,2
properties,2
signals:,2
this,2
from,2
m_zoom,2
mw_widget->update();,2
\Wikipedia"\));\,2
enums/sets,2
classname,2
5));,2
object,2
revision,2
on,2
lost,2
Object,2
5.11.1),2
****************************************************************************,2
(Qt,2
67,2
\mw_bookmark->setIcon(QIcon("\:/icons/ic_bookmark_white_18dp"\));\,2
by:,2
7));,2
WARNING,2
rad),2
code,2
solid,2
classinfo,2
Created,2
The,2
Compiler,2
eod,2
reading,2
constructors,2
C++,2
[=](){,2
\7),\,2
made,2
signalCount,2
methods,2
QRect,2
\mw_bookmark->setIcon(QIcon("\:/icons/ic_bookmark_border_white_18dp"\));\,2
***************************************************************************,2
changes,2
All,2
Qt,2
\&QScrollBar::valueChanged,\,2
1px,2
});,2
content:,2
\5),\,2
THREADLOADER_H,1
Bad,1
icon,1
UPDATERUTILS_H,1
mw_drawCheckeredBg->setChecked(true);,1
DATAWIDGETCONTAINER_H,1
mw_drawCheckeredBg,1
PASTEBIN_H,1
CLIPBOARDDATA_H,1
TABBUTTON_H,1
m_scale.width(),1
SETTINGSMANAGER_H,1
if(mw_drawCheckeredBg->isChecked()),1
when,1
setFixedHeight(100);,1
\connect(mw_bubbleSearch,\,1
TEXTVIEWER_H,1
'uglobalhotkeys.h',1
if(verticalScrollBar()->maximum(),1
ABSTRACTLISTEDWIDGET_H,1
(curPos.y(),1
\painter.setPen(QColor("\#4A5260"\));\,1
2)),1
IMAGEVIWER_H,1
'ukeysequence.h',1
COREUI_H,1
mw_shadow->hide();,1
\BubbleSearch(QIcon("\:/icons/ic_search_white_24dp"\),\,1
setAnchored(false);,1
TOOLTIPWINDOW_H,1
\tag,\,1
COLORTHUMBNAILWIDGET_H,1
UTILS_H,1
m_hotkeyManager->unregisterHotkey((size_t)action);,1
\"\UKeySequence"\\,1
\setStyleSheet("\border:\,1
Qt::SubWindow);,1
CONTAINER_H,1
BROWSEDIALOG_H,1
\this,\,1
COPYTOOLTIPWINDOW_H,1
\mw_bubbleSearch->setToolTip(tr("\Search\,1
Default,1
UNIQUEPROCESSCHECKER_H,1
NAVBAR_H,1
BOOKMARKMANAGER_H,1
effect,1
30),1
\"\size_t"\\,1
HTMLVIEWER_H,1
m_scale.height(),1
TITLEBAR_H,1
ABOUTDIALOG_H,1
MOREOPTIONSDIALOG_H,1
HEADERWIDGET_H,1
TRAY_H,1
Q_UNUSED(obj),1
\"\000"\\,1
FILEVIEWER_H,1
hover,1
holding,1
\2),\,1
HOTKEYSUTILS_H,1
\3),\,1
DATAWIDGET_H,1
\blue;}"\);\,1
else,1
screenRect,1
0),1
WELCOMESCREEN_H,1
BUBBLESEARCH_H,1
\mw_icon->setFixedSize(30,\,1
ICONWIDGET_H,1
DOWNLOADDIALOG_H,1
SEARCHBOX_H,1
center.y());,1
HOTKEYSDIALOG_H,1
ONLY,1
FLATACTIONBUTTON_H,1
\name,\,1
WIDGETSMANAGER_H,1
DATETIMEPICKER_H,1
availRect,1
DRAGDROPWIDGET_H,1
CLOUDUTILS_H,1
FIXME,1
new,1
\center.x(),\,1
BROWSER_H,1
\"\"\\,1
click,1
NAVTAB_H,1
APP_VERSION,1
QPoint((width(),1
QApplication::desktop()->screenGeometry();,1
SIGNAL,1
WIDGET_H,1
CLOUD_H,1
((height(),1
true;,1
DEBUG,1
TYPES_H,1
m_mainLayout->setSizeConstraint(QLayout::SetFixedSize);,1
\setStyleSheet("\QWidget{border:\,1
DEFAULTPROCUTILSAPI_H,1
setAttribute(Qt::WA_TranslucentBackground);,1
\text.startsWith("\file:///"\)\,1
>,1
CONTENTVIEWER_H,1
\argc,\,1
\"\activated"\\,1
INFOSPOPUP_H,1
30);,1
IMAGETHUMBNAIL_H,1
CLOUDCREDENTIALSDIALOG_H,1
\text.startsWith("\https://"\)\,1
setWindowFlags(Qt::FramelessWindowHint,1
COLORVIEWER_H,1
setFixedHeight(70);,1
MAINUTILS_H,1
UNDERLYINGWINDOW_H,1
painter.drawPoint((curPos.x(),1
this);,1
PASTEBINSETTINGS_H,1
ERRORWIDGET_H,1
CORE_H,1
LINEEDIT_H,1
mw_bubbleSearch,1
\SIGNAL(search(QString)),\,1
SLOT(bubbleSearchRequested(QString)));,1
\mw_bubbleSearch->setPlaceholderText(tr("\Search\,1
CORETYPES_H,1
PLATFORMSELECTOR_H,1
UPDATER_H,1
\"\http://127.0.0.1/MiniClipBoard/versions.xml"\;\,1
MAINWINDOW_H,1
APPINFOS_H,1
POPUP_H,1
#define,1
\connect(this->verticalScrollBar(),\,1
Qt::SubWindow,1
CREDITSDIALOG_H,1
\"\UGlobalHotkeys"\\,1
LOADERSCREEN_H,1
LINKVIEWER_H,1
HOTKEYSMANAGER_H,1
anim->setEasingCurve(QEasingCurve::InQuad);,1
WIN32_H,1
PRINTMANAGER_H,1
EXCLUDEDPROCESSMANAGER_H,1
Qt::WindowStaysOnTopHint,1
parameters,1
3));,1
UTILSUI_H,1
this->installEventFilter(this);,1
QApplication::desktop()->availableGeometry();,1
false;,1
QScreen::availableGeometryChanged(),1
Qt::red,1
CLOUDPOPUP_H,1
\red;"\);\,1
LEGAL_H,1
LINKBUTTON_H,1
\text.startsWith("\www."\))\,1
SETTINGSDIALOG_H,1
0,1
PROCESSUTILS_H,1
\connect(this->horizontalScrollBar(),\,1
\if(text.startsWith("\http://"\)\,1
\"\id"\\,1
\parameters,\,1
LINKSVIWER_H,1
