File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\main.cpp,70,34,22,4,18,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\cloud.cpp,50,26,16,5,6,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\cloudutils.cpp,55,26,15,7,11,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\cloud.h,44,18,8,0,8,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\cloudutils.h,35,11,5,0,6,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\types.h,47,22,11,0,7,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\API\Pastebin\pastebin.cpp,99,64,46,13,17,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\API\Pastebin\pastebin.h,64,32,12,0,14,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\BookmarkManager\bookmarkmanager.cpp,135,93,49,19,24,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\BookmarkManager\bookmarkmanager.h,63,31,12,0,14,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Core\core.cpp,261,200,139,42,36,0,25,129,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Core\core.h,69,32,13,0,19,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\CoreTypes\clipboarddata.h,157,115,66,30,24,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\CoreTypes\coretypes.h,117,77,42,0,22,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.cpp,109,66,39,15,25,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager\excludedprocessesmanager.h,67,30,14,0,19,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysmanager.cpp,80,49,29,8,12,0,19,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysutils.cpp,62,32,21,4,12,0,18,116,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysmanager.h,72,38,17,0,16,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager\hotkeysutils.h,35,11,5,0,6,1,18,117,18,116
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager\printmanager.cpp,209,144,108,14,47,0,18,116,18,116
