Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,153,14240,8598,5405,589,2947,110,2695,17330,2616,16892
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources,153,14240,8598,5405,589,2947,110,2695,17330,2616,16892
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud,7,394,199,113,25,69,4,126,816,126,812
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\API,2,163,96,58,13,31,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\API\Pastebin,2,163,96,58,13,31,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core,30,2637,1552,927,187,536,16,549,3512,540,3480
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\BookmarkManager,2,198,124,61,19,38,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\Core,2,330,232,152,42,55,1,43,246,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\CoreTypes,2,274,192,108,30,46,2,36,234,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ExcludedProcessesManager,2,176,96,53,15,44,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\HotKeysManager,4,249,130,72,12,46,2,73,467,72,464
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\PrintManager,2,282,180,122,14,66,1,36,233,36,232
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\ProcessUtils,6,250,100,47,17,42,3,108,699,108,696
