File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\main.cpp,"main(int argc, char *argv[])",36,24,22,4,12,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\cloud.cpp,Cloud::Cloud::Cloud(QObject *parent),8,8,8,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\cloud.cpp,Cloud::getSupportedType(CloudTypes::Cloud_Platform platform),8,7,5,4,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\cloud.cpp,Cloud::upload(const CloudTypes::CloudData &data),4,4,3,1,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\cloudutils.cpp,CloudUtils::getValue(const QString &key),4,3,3,1,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\cloudutils.cpp,"CloudUtils::setValue(const QString &group, const QString &key, const QString &value)",6,4,4,0,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\cloudutils.cpp,CloudUtils::getPlatformName(CloudTypes::Cloud_Platform platform),6,5,4,3,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\cloudutils.cpp,"CloudUtils::getFormatedResult(const QString &result, CloudTypes::Cloud_Platform platform)",6,5,4,3,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\API\Pastebin\pastebin.cpp,Pastebin::Pastebin(QObject *parent),2,1,1,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\API\Pastebin\pastebin.cpp,Pastebin::upload(const CloudTypes::CloudData &data),18,14,14,0,4,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\API\Pastebin\pastebin.cpp,Pastebin::finished(),10,8,7,1,2,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\API\Pastebin\pastebin.cpp,Pastebin::_error(),2,2,2,0,0,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\API\Pastebin\pastebin.cpp,Pastebin::dataToText(const Core::ClipboardData &data),20,19,17,8,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Cloud\API\Pastebin\pastebin.cpp,Pastebin::pastebinKeySeemsvalid(const QString &key),8,7,5,4,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\BookmarkManager\bookmarkmanager.cpp,BookmarkManager::BookmarkManager(QObject *parent),2,1,1,0,1,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\BookmarkManager\bookmarkmanager.cpp,"BookmarkManager::saveDataToFile(const QByteArray &data, const QUuid &uuid)",11,8,7,3,3,0,0,0,
E:\Users\Gregoire.PC-GREGOIRE\Documents\Programmation\Qt\MiniClipBoard\Sources\Core\BookmarkManager\bookmarkmanager.cpp,BookmarkManager::getDataFromFile(const QUuid &uuid),9,7,6,3,2,0,0,0,
